,PC1 (28%),PC2 (17%),PC3 (13%),PC4 (11%),PC5 (9%)
age_years,0.36968965232125456,0.2255603898864308,0.02591358083920665,-0.0054650280664993705,-0.31707172858758537
bmi,0.34693722277311817,-0.37563996020523915,-0.35067822700362067,-0.12188052850719065,-0.2168634828068406
waist_cm,0.40660235245924653,-0.3256429167345328,-0.30659945376288605,-0.1230901949538418,-0.19427928818259102
sbp_avg,0.41031456968917956,0.4191728408719219,-0.02778509173902674,-0.17752451940731656,0.2624910966901608
dbp_avg,0.3462773662463645,0.11266538658193362,-0.31939735595137675,0.11029686520937373,0.3570569422690123
pulse_pressure,0.25552460982246833,0.4661130125963044,0.23440041651866672,-0.3315966768675506,0.04826234733967674
total_chol,0.14781856066249402,0.1447626005296932,-0.2263421424583335,0.6995700172136278,-0.011324960972548929
hdl,-0.09938601188754696,0.4252126142077774,-0.12026186561276567,0.3599275296440485,-0.49906982979427494
triglycerides,0.20142589484268517,-0.19889046177503347,0.2516265814615917,0.39999440080701865,0.5107223986079845
fasting_glucose,0.2468710998335965,-0.17906934162084015,0.5378988839489426,0.18036408605443402,-0.1391124968907258
hba1c,0.3013870060496035,-0.15141961080018243,0.4541750512581347,0.06967499389801911,-0.2942485546622365
