,0.0,1.0
age_years,51.404019506428256,67.2939330543933
bmi,29.61616238988893,31.299197860962565
waist_cm,100.21857966978317,107.78028571428571
sbp_avg,122.26374234727108,127.70273297491039
dbp_avg,74.97827503094261,72.8877688172043
pulse_pressure,47.28212144904874,54.81496415770609
total_chol,191.06611226611227,167.67203513909223
hdl,54.800752665690986,51.26979472140763
ldl,111.99961715160796,87.59945504087193
triglycerides,119.94144314318096,130.77540106951872
fasting_glucose,108.39151470040937,122.77386934673366
hba1c,5.706687961668996,6.2971193415637865
chol_hdl_ratio,3.674705751804938,3.437265796589784
met_syn_score,1.2202651515151515,1.669700910273082
