,count,mean,std,min,25%,50%,75%,max
age_years,11422.0,39.16511994396778,25.273775579713696,5.397605346934028e-79,15.0,39.0,62.0,80.0
bmi,8471.0,27.246665092669108,8.137780644865733,11.1,21.6,26.4,31.7,74.8
waist_cm,8142.0,92.13431589290101,22.099005242120224,39.8,77.5,92.7,107.1,187.0
sbp_avg,7515.0,119.12787757817698,18.140853862826333,68.5,106.58333333333334,116.33333333333333,129.0,232.33333333333334
dbp_avg,7516.0,72.18431789959199,11.485939427430878,34.0,64.0,71.33333333333333,79.5,139.0
pulse_pressure,7513.0,46.936110741381604,13.429882066337857,16.66666666666667,37.99999999999999,44.5,53.0,137.0
total_chol,6883.0,181.62501816068576,42.25565204318816,62.0,151.0,178.0,207.0,438.0
hdl,6854.0,53.97651006711409,13.999745771809438,22.0,44.0,52.0,61.0,159.0
ldl,3399.0,106.07678729037953,36.60167274951714,3.0,80.0,103.0,129.0,314.0
triglycerides,3453.0,116.49840718216043,85.04236767233256,19.0,69.0,96.0,137.0,1745.0
fasting_glucose,3533.0,108.28389470704784,33.029801626296354,59.0,93.0,101.0,110.0,561.0
hba1c,6686.0,5.703574633562668,1.053094919954978,3.2,5.2,5.5,5.8,17.1
chol_hdl_ratio,6847.0,3.5271101415609096,1.1081620105035663,1.3962264150943395,2.746150201374082,3.3043478260869565,4.057983193277311,13.428571428571429
met_syn_score,8535.0,0.9592267135325132,1.1065674633789055,0.0,0.0,1.0,2.0,5.0
